Farm_ID,Crop,Region,Area_Hectares,Yield_Tons,Fertilizer_Used,Pesticide_Used,Irrigation
F0001,Corn,South,4.48,8.87,Potassium,None,No
F0002,Wheat,Central,31.92,8.85,Organic,None,Yes
F0003,Barley,Central,12.22,4.01,None,Insecticide,Yes
F0004,Soybean,East,45.37,2.0,None,None,No
F0005,Soybean,Central,43.12,8.42,Nitrogen,None,No
F0006,Rice,West,4.47,7.18,Organic,Fungicide,No
F0007,Corn,Central,12.66,6.31,None,Insecticide,Yes
F0008,Potatoes,West,33.78,9.88,Phosphorus,Fungicide,Yes
F0009,Corn,East,11.5,6.71,Potassium,None,Yes
F0010,Tomatoes,South,7.48,0.57,Nitrogen,Insecticide,Yes
F0011,Cotton,South,46.84,8.26,Organic,Fungicide,No
F0012,Wheat,Central,28.98,3.34,Nitrogen,None,Yes
F0013,Wheat,West,24.16,6.8,None,Herbicide,Yes
F0014,Corn,North,39.45,9.42,None,Fungicide,No
F0015,Soybean,North,40.57,1.78,Phosphorus,Insecticide,No
F0016,Soybean,North,10.33,1.6,Potassium,Fungicide,No
F0017,Potatoes,South,5.75,1.52,Organic,Fungicide,Yes
F0018,Tomatoes,South,22.12,5.76,Nitrogen,Fungicide,No
F0019,Wheat,West,21.76,3.09,Potassium,Herbicide,Yes
F0020,Potatoes,Central,23.88,6.25,None,Insecticide,No
F0021,Soybean,North,36.72,7.32,Potassium,Insecticide,No
F0022,Potatoes,West,33.99,2.43,Nitrogen,Insecticide,Yes
F0023,Cotton,West,49.22,6.53,Potassium,None,No
F0024,Soybean,Central,5.82,3.01,None,Insecticide,No
F0025,Sugarcane,West,20.73,5.14,Potassium,Insecticide,No
F0026,Tomatoes,Central,17.63,9.1,Organic,Herbicide,Yes
F0027,Barley,East,43.22,8.54,Potassium,None,No
F0028,Wheat,Central,13.18,1.38,Organic,None,Yes
F0029,Rice,North,10.32,4.52,Potassium,Fungicide,No
F0030,Cotton,North,22.98,3.13,None,None,No
F0031,Oats,Central,21.67,0.53,Phosphorus,None,No
